,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,-1.11,-0.11,2.77,21.99,14.78,20.62,0.0,5.42,2.13,48.12,29.7,48.66,0.0,-7.96,0.16,3.04,0.86,1.98
email-Eu,0.07,0.05,1.41,26.43,16.69,24.54,0.06,-0.05,1.78,27.2,13.35,24.92,-0.0,1.4,0.86,-0.43,1.08,-0.34
contact-primary-school,0.1,2.56,4.64,41.12,20.12,39.4,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,0.03,-5.6,10.77,30.39,33.36,30.26,0.0,0.0,0.0,181.41,170.75,178.61,0.0,0.0,0.0,0.0,0.0,0.0
NDC-classes,-28.51,0.05,-0.07,2.76,-0.07,6.86,-4.99,-0.38,23.49,13.48,-28.82,6.95,-0.93,-0.3,-4.28,-1.28,-2.19,0.29
NDC-substances,-0.4,-1.04,-1.35,6.85,-3.97,4.69,0.03,-3.02,-3.9,0.92,1.32,-0.5,3.05,1.34,-0.21,2.73,0.01,1.28
DAWN,0.0,0.03,2.16,13.37,10.02,12.86,0.0,0.0,2.25,14.48,10.79,13.89,0.02,0.01,-1.24,0.03,0.06,0.1
congress-bills,0.9,0.59,2.26,27.78,15.8,25.03,0.6,-0.0,3.25,25.22,13.48,22.83,0.01,3.2,0.08,0.13,1.11,0.07
tags-ask-ubuntu,0.01,0.91,2.24,14.71,9.93,13.99,0.0,0.35,2.07,16.68,10.0,15.85,-0.0,0.6,0.0,0.0,0.21,0.0
tags-math-sx,0.03,0.71,2.12,12.55,12.62,11.72,0.0,0.03,1.79,13.04,11.64,12.08,0.0,0.7,0.02,0.01,0.39,0.01
threads-ask-ubuntu,-38.51,1.44,-42.45,1.51,0.13,1.6,-66.36,0.13,17.55,0.07,-0.02,0.04,49.07,1.14,0.01,0.0,0.0,0.0
threads-math-sx,0.02,-0.39,5.09,0.35,1.02,0.48,0.0,-0.4,7.35,0.12,0.76,0.27,0.0,0.04,0.02,0.05,-0.01,0.0
coauth-MAG-History,-29.95,-0.16,-40.62,-0.12,0.02,-0.07,-23.98,-2.02,-34.62,-0.07,-0.02,-0.05,5.07,1.53,8.27,0.01,0.01,0.04
coauth-MAG-Geology,41.97,0.51,2.42,0.37,-0.02,0.1,45.62,-0.29,1.89,0.27,-0.11,-0.0,2.63,4.48,0.81,-25.05,0.02,-19.39
coauth-DBLP,21.5,3.2,0.46,-0.08,-0.18,-0.32,26.94,0.12,0.03,-6.95,-14.34,-0.37,1.07,7.4,1.19,6.7,-0.53,-11.0
